Epoch,Phase,Right_Label,Pred_umdavb,Pred_rbbb,Pred_lbbb,Pred_sb,Pred_st,Pred_af
1,val,umdavb,1126,76,61,74,33,91
1,val,rbbb,34,698,4,14,4,9
1,val,lbbb,31,6,485,5,3,18
1,val,sb,67,3,3,347,0,3
1,val,st,46,7,9,1,526,43
1,val,af,124,12,26,31,31,237
1,test,umdavb,568,9,17,67,15,33
1,test,rbbb,3,21,0,1,1,4
1,test,lbbb,3,2,19,2,1,0
1,test,sb,3,1,0,11,0,0
1,test,st,8,0,0,1,25,1
1,test,af,4,0,0,2,0,5
2,val,umdavb,1160,71,53,61,40,76
2,val,rbbb,71,675,2,8,1,6
2,val,lbbb,55,2,472,6,4,9
2,val,sb,97,3,2,320,0,1
2,val,st,30,10,11,1,557,23
2,val,af,113,10,18,7,31,282
2,test,umdavb,636,9,20,24,11,9
2,test,rbbb,6,23,0,1,0,0
2,test,lbbb,6,0,20,1,0,0
2,test,sb,6,0,0,9,0,0
2,test,st,9,1,0,0,24,1
2,test,af,5,0,1,1,0,4
3,val,umdavb,1148,78,59,65,31,80
3,val,rbbb,30,711,4,9,6,3
3,val,lbbb,37,3,479,3,7,19
3,val,sb,46,3,3,367,0,4
3,val,st,30,7,14,0,553,28
3,val,af,77,12,15,7,23,327
3,test,umdavb,621,6,8,53,10,11
3,test,rbbb,8,20,0,0,1,1
3,test,lbbb,4,2,21,0,0,0
3,test,sb,1,1,0,13,0,0
3,test,st,16,0,0,0,19,0
3,test,af,6,0,0,1,1,3
4,val,umdavb,1206,66,49,52,44,44
4,val,rbbb,62,690,3,4,1,3
4,val,lbbb,39,2,483,5,6,13
4,val,sb,64,1,1,355,0,2
4,val,st,15,10,6,1,580,20
4,val,af,83,15,9,8,41,305
4,test,umdavb,656,4,16,18,9,6
4,test,rbbb,5,23,0,1,1,0
4,test,lbbb,2,0,23,1,0,1
4,test,sb,1,1,0,13,0,0
4,test,st,9,0,1,0,25,0
4,test,af,7,0,0,0,0,4
5,val,umdavb,1197,66,38,62,33,65
5,val,rbbb,42,702,4,8,2,5
5,val,lbbb,62,2,461,5,2,16
5,val,sb,45,2,1,372,0,3
5,val,st,23,8,9,1,561,30
5,val,af,45,8,12,8,16,372
5,test,umdavb,655,5,6,22,5,16
5,test,rbbb,7,21,0,0,2,0
5,test,lbbb,4,1,21,1,0,0
5,test,sb,1,1,0,13,0,0
5,test,st,13,1,0,0,20,1
5,test,af,4,0,0,1,1,5
6,val,umdavb,1234,46,51,53,37,40
6,val,rbbb,100,641,3,8,5,6
6,val,lbbb,34,0,495,4,1,14
6,val,sb,41,4,2,373,0,3
6,val,st,20,6,13,2,578,13
6,val,af,54,9,17,7,33,341
6,test,umdavb,606,1,16,72,8,6
6,test,rbbb,13,16,0,0,1,0
6,test,lbbb,5,1,21,0,0,0
6,test,sb,1,1,0,13,0,0
6,test,st,12,1,0,0,22,0
6,test,af,4,0,0,1,1,5
7,val,umdavb,1232,71,46,47,35,30
7,val,rbbb,47,705,2,5,1,3
7,val,lbbb,42,3,484,4,1,14
7,val,sb,47,5,1,368,0,2
7,val,st,28,6,11,0,558,29
7,val,af,88,10,11,6,16,330
7,test,umdavb,597,5,18,70,5,14
7,test,rbbb,6,23,0,0,0,1
7,test,lbbb,4,2,21,0,0,0
7,test,sb,3,1,0,11,0,0
7,test,st,9,1,1,0,22,2
7,test,af,5,0,0,0,0,6
