Epoch,Phase,Right_Label,Pred_umdavb,Pred_rbbb,Pred_lbbb,Pred_sb,Pred_st,Pred_af
1,val,umdavb,12825,185,108,202,182,61
1,val,rbbb,127,674,5,12,2,2
1,val,lbbb,120,14,311,9,0,2
1,val,sb,175,5,0,266,0,1
1,val,st,89,10,4,0,464,5
1,val,af,267,15,7,20,62,124
1,test,umdavb,676,7,2,11,12,1
1,test,rbbb,7,23,0,0,0,0
1,test,lbbb,10,1,16,0,0,0
1,test,sb,9,0,0,6,0,0
1,test,st,6,3,0,0,26,0
1,test,af,8,0,0,0,0,3
2,val,umdavb,12929,147,100,161,185,41
2,val,rbbb,181,620,5,13,1,2
2,val,lbbb,126,9,309,10,1,1
2,val,sb,100,4,0,342,0,1
2,val,st,61,3,5,0,500,3
2,val,af,243,12,10,17,68,145
2,test,umdavb,684,5,1,4,13,2
2,test,rbbb,9,20,1,0,0,0
2,test,lbbb,9,0,18,0,0,0
2,test,sb,3,0,0,11,0,1
2,test,st,2,2,0,0,31,0
2,test,af,5,0,0,0,0,6
3,val,umdavb,12892,168,126,120,153,104
3,val,rbbb,74,723,7,11,1,6
3,val,lbbb,74,2,358,7,1,14
3,val,sb,106,4,1,330,0,6
3,val,st,59,5,3,1,482,22
3,val,af,135,8,9,16,17,310
3,test,umdavb,672,7,3,5,17,5
3,test,rbbb,4,26,0,0,0,0
3,test,lbbb,4,1,21,0,0,1
3,test,sb,5,0,0,9,0,1
3,test,st,4,0,0,0,31,0
3,test,af,4,0,0,0,0,7
4,val,umdavb,12916,158,89,148,133,119
4,val,rbbb,107,696,3,8,2,6
4,val,lbbb,94,6,335,7,1,13
4,val,sb,87,4,0,351,0,5
4,val,st,83,3,2,1,463,20
4,val,af,110,9,4,14,6,352
4,test,umdavb,671,9,3,5,17,4
4,test,rbbb,4,24,0,0,1,1
4,test,lbbb,8,0,18,0,0,1
4,test,sb,4,0,0,11,0,0
4,test,st,1,1,0,0,33,0
4,test,af,4,0,0,0,0,7
5,val,umdavb,12942,123,84,139,180,95
5,val,rbbb,142,658,3,12,2,5
5,val,lbbb,114,3,321,6,3,9
5,val,sb,95,4,1,346,0,1
5,val,st,60,4,2,0,480,26
5,val,af,140,4,7,12,10,322
5,test,umdavb,662,4,0,9,29,5
5,test,rbbb,6,23,0,0,0,1
5,test,lbbb,8,0,19,0,0,0
5,test,sb,3,0,0,11,0,1
5,test,st,1,0,0,0,34,0
5,test,af,6,0,0,0,0,5
6,val,umdavb,12923,136,100,102,153,149
6,val,rbbb,143,656,5,10,1,7
6,val,lbbb,86,5,351,8,1,5
6,val,sb,111,4,1,322,0,9
6,val,st,58,5,4,0,483,22
