Epoch,Phase,Right_Label,Pred_umdavb,Pred_rbbb,Pred_lbbb,Pred_sb,Pred_st,Pred_af
1,val,umdavb,3038,211,55,101,67,86
1,val,rbbb,546,135,7,49,15,20
1,val,lbbb,178,57,177,12,3,3
1,val,sb,77,9,0,329,0,0
1,val,st,42,52,8,0,483,9
1,val,af,269,48,24,19,73,57
1,test,umdavb,599,52,8,8,8,31
1,test,rbbb,23,6,1,0,0,0
1,test,lbbb,10,4,13,0,0,0
1,test,sb,2,1,0,12,0,0
1,test,st,4,6,0,0,23,2
1,test,af,7,1,0,1,1,1
2,val,umdavb,2605,622,75,67,48,141
2,val,rbbb,279,414,19,26,12,22
2,val,lbbb,87,120,213,5,2,3
2,val,sb,105,61,6,243,0,0
2,val,st,30,46,4,0,506,8
2,val,af,151,113,20,7,33,166
2,test,umdavb,521,133,15,5,9,23
2,test,rbbb,12,17,1,0,0,0
2,test,lbbb,10,6,11,0,0,0
2,test,sb,1,4,1,9,0,0
2,test,st,4,4,0,0,27,0
2,test,af,4,4,0,0,1,2
3,val,umdavb,3180,196,22,87,32,41
3,val,rbbb,391,308,4,44,11,14
3,val,lbbb,160,93,163,7,3,4
3,val,sb,66,4,1,343,0,1
3,val,st,57,28,2,0,500,7
3,val,af,249,42,5,11,29,154
3,test,umdavb,638,43,3,8,6,8
3,test,rbbb,15,14,0,0,0,1
3,test,lbbb,13,5,9,0,0,0
3,test,sb,2,1,0,12,0,0
3,test,st,5,1,1,0,27,1
3,test,af,9,0,0,0,1,1
4,val,umdavb,3059,164,81,92,55,107
4,val,rbbb,119,557,27,38,7,24
4,val,lbbb,56,80,278,4,5,7
4,val,sb,47,8,6,354,0,0
4,val,st,35,10,7,0,519,23
4,val,af,149,26,12,10,25,268
4,test,umdavb,623,30,12,6,14,21
4,test,rbbb,3,24,0,0,1,2
4,test,lbbb,4,4,17,0,1,1
4,test,sb,1,0,0,14,0,0
4,test,st,3,0,0,0,31,1
4,test,af,5,0,1,1,1,3
5,val,umdavb,3134,161,53,66,49,95
5,val,rbbb,148,547,24,16,12,25
5,val,lbbb,80,68,268,5,7,2
5,val,sb,76,10,1,327,0,1
5,val,st,33,8,3,0,535,15
5,val,af,148,33,17,7,37,248
5,test,umdavb,633,29,9,6,11,18
5,test,rbbb,6,21,0,0,1,2
5,test,lbbb,4,7,14,1,1,0
5,test,sb,2,1,0,12,0,0
5,test,st,3,0,0,0,32,0
5,test,af,8,0,0,1,1,1
6,val,umdavb,3054,173,62,87,59,123
6,val,rbbb,97,578,37,36,8,16
6,val,lbbb,63,70,279,4,9,5
6,val,sb,45,5,1,362,0,2
6,val,st,18,27,1,0,533,15
6,val,af,117,24,18,11,25,295
6,test,umdavb,629,31,10,7,16,13
6,test,rbbb,2,26,0,0,2,0
6,test,lbbb,2,2,20,1,1,1
6,test,sb,2,0,0,13,0,0
6,test,st,1,1,0,0,33,0
6,test,af,5,0,1,1,1,3
7,val,umdavb,3150,173,44,78,42,71
7,val,rbbb,106,590,22,28,10,16
7,val,lbbb,83,59,272,2,7,7
7,val,sb,61,8,1,345,0,0
7,val,st,29,9,4,0,539,13
7,val,af,132,20,15,8,45,270
7,test,umdavb,652,29,3,5,8,9
7,test,rbbb,1,28,0,0,1,0
7,test,lbbb,3,2,21,0,0,1
7,test,sb,2,0,0,13,0,0
7,test,st,2,1,0,0,32,0
7,test,af,7,1,0,1,1,1
8,val,umdavb,3155,130,57,79,39,98
8,val,rbbb,109,577,31,22,9,24
8,val,lbbb,66,52,286,6,6,14
8,val,sb,47,6,0,356,0,6
8,val,st,36,6,3,0,534,15
8,val,af,110,21,12,6,30,311
8,test,umdavb,662,19,6,6,7,6
8,test,rbbb,5,23,0,0,1,1
8,test,lbbb,3,2,19,0,0,3
8,test,sb,2,0,0,13,0,0
8,test,st,4,1,0,0,30,0
8,test,af,7,0,1,0,1,2
9,val,umdavb,3174,114,61,79,40,90
9,val,rbbb,112,560,28,35,5,32
9,val,lbbb,68,56,293,3,6,4
9,val,sb,52,3,2,356,0,2
9,val,st,50,5,5,0,523,11
9,val,af,119,16,22,9,32,292
9,test,umdavb,652,18,13,7,7,9
9,test,rbbb,6,22,0,0,1,1
9,test,lbbb,2,2,22,0,0,1
9,test,sb,2,0,0,13,0,0
9,test,st,4,0,0,0,31,0
9,test,af,7,0,0,1,1,2
10,val,umdavb,3192,98,56,62,61,89
10,val,rbbb,122,561,37,26,8,18
10,val,lbbb,68,42,303,4,5,8
10,val,sb,72,3,0,339,0,1
10,val,st,25,7,2,0,542,18
10,val,af,116,18,10,8,18,320
10,test,umdavb,659,16,7,6,9,9
10,test,rbbb,8,19,1,0,1,1
10,test,lbbb,4,2,20,0,0,1
10,test,sb,3,0,0,12,0,0
10,test,st,4,0,0,0,31,0
10,test,af,7,0,0,0,1,3
11,val,umdavb,3185,119,38,66,43,107
11,val,rbbb,131,582,14,15,8,22
11,val,lbbb,76,53,278,5,6,12
11,val,sb,53,4,0,357,0,1
11,val,st,30,3,3,0,543,15
11,val,af,105,21,10,9,23,322
11,test,umdavb,652,24,6,8,7,9
11,test,rbbb,5,23,0,0,2,0
11,test,lbbb,6,2,18,0,0,1
11,test,sb,3,0,0,12,0,0
11,test,st,4,0,0,0,31,0
11,test,af,7,0,0,0,1,3
12,val,umdavb,3141,110,59,93,34,121
12,val,rbbb,94,596,29,18,6,29
12,val,lbbb,68,44,308,4,2,4
12,val,sb,45,7,4,354,0,5
12,val,st,46,10,4,0,518,16
12,val,af,107,14,23,12,20,314
12,test,umdavb,649,23,10,8,7,9
12,test,rbbb,3,24,1,0,2,0
12,test,lbbb,3,2,22,0,0,0
12,test,sb,2,0,0,13,0,0
12,test,st,6,1,0,0,27,1
12,test,af,6,0,0,1,1,3
13,val,umdavb,3103,138,63,97,49,108
13,val,rbbb,100,594,26,24,7,21
13,val,lbbb,69,49,302,2,7,1
13,val,sb,40,6,0,364,0,5
13,val,st,31,11,6,0,529,17
13,val,af,98,16,23,9,24,320
13,test,umdavb,643,24,6,9,14,10
13,test,rbbb,2,26,0,0,2,0
13,test,lbbb,3,2,22,0,0,0
13,test,sb,2,0,0,13,0,0
13,test,st,3,0,0,0,31,1
13,test,af,5,0,1,0,1,4
14,val,umdavb,3195,106,57,79,34,87
14,val,rbbb,104,588,30,25,8,17
14,val,lbbb,71,65,280,6,4,4
14,val,sb,44,5,0,362,0,4
14,val,st,36,6,4,0,535,13
14,val,af,109,16,14,7,21,323
14,test,umdavb,658,19,9,7,6,7
